nghb_name;nghb_external_code;city_id
Villas de Guadalupe (la Malobra);1102;742
La Chaveña;1179;742
Las Margaritas;845;742
Los Vázquez;847;742
Los Ramirez;846;742
La Lomita de Paso Blanco (las Canoas);1103;742
Paso Blanco;849;742
Granjas Miravalle;848;742
La Cardona;850;742
San Miguelito;851;742
Los Sauces;1434;742
Andares;1437;742
Reserva San Cristóbal;1361;742
Jardines de Campo Real;1438;742
Trojes de San Cristóbal;1051;742
Quintas de Monticello;1088;742
Campo Real;1356;742
Privanza de Gratamira;1426;742
Centro Distribuidor de Básicos Viñedos San Marcos;1067;742
La Guayana (rancho Seco);1097;742
Residencial Cedros;1187;742
Tepetates;852;742
Villas del Molino;1143;742
Viñedos Frutilandia;853;742
Los Arenales;1100;742
La Troje II;1189;742
Alcázar;1368;742
Trojes de San Cristóbal II;1382;742
Villa Antigua;1050;742
Viña Antigua;1119;742
Jardines de La Asunción;283;738
El Caminero;280;738
Bulevar;279;738
Jardines de Aguascalientes;282;738
Lindavista;285;738
Los Cedros;1315;738
Las Canoas;284;738
México;286;738
Jardines de las Bugambilias;288;738
Jardines del Parque;289;738
Residencial del Parque;291;738
Rinconada del Parque;292;738
Pirámides;290;738
Jardines de las Fuentes;294;738
Diana;293;738
Jardines del Sur;297;738
Central de Abastos;296;738
Prados del Sur;301;738
Trojes del Sur;305;738
Martinez Dominguez;299;738
Torres de San Francisco;304;738
Casasolida;295;738
La Luz;298;738
Prados de Villasunción;300;738
San Francisco del Arenal;302;738
San Pedro;303;738
Parque Industrial Siglo XXI;1325;738
Parque Industrial Siglo XXI (Ampliación);1341;738
Villas del Oeste;309;738
Villas de Santa Rosa;308;738
La Estancia;306;738
INFONAVIT Potreros del Oeste;307;738
